First Name,Surname,country,age,OVR,Bat OVR,IQ,Technique,Power,Running,Bowl OVR,WicketTaking,Econ,Accuracy,Cltch
Rashid,Khan,Afghanistan,23,92,74,58,75,88,79,88,84,87,99,98
Hardik,Pandya,India,28,92,87,89,86,89,72,77,72,74,93,86
Rishabh,Pant,India,24,92,92,93,91,91,87,26,29,16,35,40
Andre,Russell,West Indies,34,92,87,86,86,92,76,79,77,73,96,94
Glenn,Maxwell,Australia,33,91,88,91,86,87,77,74,69,71,94,89
Glenn,Phillips,New Zealand,25,91,91,94,89,91,82,50,50,51,49,44
Shadab,Khan,Pakistan,23,91,79,73,78,84,82,85,80,83,99,96
Kieron,Pollard,West Indies,35,91,86,89,84,88,75,77,74,70,95,93
Liam,Livingstone,England,29,90,87,89,86,90,71,69,68,69,78,69
Paul,Stirling,Ireland,31,90,88,91,85,88,75,70,65,70,83,74
Thisara,Perera,Sri Lanka,33,90,84,82,83,89,76,79,76,73,96,95
Sunil,Narine,West Indies,34,90,77,66,76,89,72,84,78,85,96,94
Shakib,Al Hasan,Bangladesh,35,89,76,87,75,69,78,83,78,81,95,94
Moeen,Ali,England,35,89,83,85,81,84,76,77,73,74,93,89
Jos,Buttler,England,31,89,89,93,88,87,82,25,28,16,34,39
David,Willey,England,32,89,82,81,81,85,65,81,77,77,96,92
KL,Rahul,India,30,89,89,95,89,84,81,25,28,16,35,39
James,Neesham,New Zealand,31,89,82,82,83,84,72,77,75,72,93,89
Quinton,de Kock,South Africa,29,89,89,95,87,86,78,25,28,16,35,39
Dasun,Shanaka,Sri Lanka,30,89,87,87,85,89,84,61,60,60,65,62
Evin,Lewis,West Indies,30,89,89,91,86,93,61,25,28,16,35,39
Nicholas,Pooran,West Indies,26,89,89,90,86,94,71,25,29,16,35,40
Mohammad,Nabi,Afghanistan,37,88,79,82,77,79,80,80,75,78,94,93
Najibullah,Zadran,Afghanistan,29,88,87,88,85,88,85,57,59,63,43,37
Marcus,Stoinis,Australia,32,88,84,89,84,80,82,69,67,66,80,74
Axar,Patel,India,28,88,77,76,77,77,79,81,75,81,96,93
Asif,Ali,Pakistan,30,88,87,85,85,91,80,50,54,52,40,33
Hazratullah,Zazai,Afghanistan,24,87,86,82,85,92,73,45,49,44,39,33
Mitchell,Marsh,Australia,30,87,84,91,84,81,59,68,66,68,76,72
D'Arcy,Short,Australia,31,87,83,90,84,79,72,67,63,67,76,73
Alex,Hales,England,33,87,87,91,86,87,73,30,28,27,37,38
Jason,Roy,England,32,87,87,91,85,86,80,37,41,35,37,35
Shreyas,Iyer,India,27,87,87,95,86,83,77,38,36,39,40,36
Ravindra,Jadeja,India,33,87,79,84,79,75,80,79,74,76,96,95
Suresh,Raina,India,35,87,84,90,83,80,82,66,60,67,79,69
Babar,Azam,Pakistan,27,87,86,97,90,75,73,48,47,54,43,33
Imad,Wasim,Pakistan,33,87,74,75,75,72,75,82,76,82,96,95
Mohammad,Nawaz,Pakistan,28,87,77,78,76,77,68,80,75,79,95,91
